iter	Passed	Remaining
0	30	2999
1	60	2980
2	92	2982
3	119	2867
4	144	2753
5	171	2680
6	195	2593
7	217	2503
8	241	2442
9	270	2437
10	298	2413
11	333	2443
12	366	2450
13	398	2450
14	429	2434
15	454	2388
16	482	2354
17	505	2304
18	530	2263
19	558	2234
20	586	2204
21	612	2171
22	638	2137
23	663	2101
24	693	2080
25	719	2046
26	747	2020
27	771	1985
28	796	1950
29	820	1913
30	845	1881
31	875	1861
32	899	1827
33	928	1803
34	973	1807
35	1003	1783
36	1034	1761
37	1070	1747
38	1105	1729
39	1145	1718
40	1171	1685
41	1195	1650
42	1219	1616
43	1243	1582
44	1271	1554
45	1297	1522
46	1320	1489
47	1343	1455
48	1367	1422
49	1390	1390
50	1414	1359
51	1438	1327
52	1465	1299
53	1492	1271
54	1527	1249
55	1556	1222
56	1583	1194
57	1609	1165
58	1636	1137
59	1664	1109
60	1691	1081
61	1715	1051
62	1741	1022
63	1766	993
64	1790	964
65	1816	935
66	1840	906
67	1870	880
68	1895	851
69	1920	823
70	1944	794
71	1969	765
72	1991	736
73	2015	707
74	2037	679
75	2062	651
76	2089	624
77	2112	595
78	2135	567
79	2158	539
80	2170	509
81	2194	481
82	2217	454
83	2240	426
84	2268	400
85	2291	372
86	2314	345
87	2337	318
88	2359	291
89	2382	264
90	2405	237
91	2428	211
92	2454	184
93	2479	158
94	2502	131
95	2525	105
96	2548	78
97	2571	52
98	2593	26
99	2616	0
